feature,model_0,model_1,model_2,model_3,model_4,mean_importance,std_importance
score_diff,0.15101883,0.16488436,0.1491411,0.15770273,0.14927772,0.15440495,0.006821946
required_catchup_rate,0.07928468,0.07655959,0.07411996,0.07711299,0.08060822,0.07753709,0.002514858
home_team_recent_win_pct,0.047609426,0.03895544,0.044419065,0.046609532,0.04331363,0.044181418,0.0033825792
away_team_recent_off_rtg,0.03605304,0.032768764,0.035396565,0.03617912,0.033727597,0.03482502,0.0015083777
away_roster_recent_est_def_rating,0.029989507,0.031882625,0.033431076,0.035375852,0.031047374,0.032345288,0.0021101893
away_roster_recent_pie,0.030389845,0.039663747,0.029899688,0.026633963,0.033884477,0.032094344,0.004950708
home_roster_recent_est_off_rating,0.034014344,0.032772623,0.027183292,0.0251516,0.032278042,0.030279983,0.0038742987
home_roster_season_pie,0.029461795,0.033233687,0.032886297,0.028225906,0.026383428,0.030038223,0.0029705556
home_roster_recent_est_def_rating,0.0323927,0.031306017,0.024586286,0.02531623,0.032729946,0.029266234,0.0039823754
away_roster_recent_est_usg_pct,0.02745023,0.02450834,0.0305141,0.026527138,0.035307255,0.028861413,0.0042032655
away_roster_season_pie,0.026875518,0.031125952,0.02458635,0.030958802,0.024986554,0.027706634,0.0031659945
away_team_season_win_pct,0.026254168,0.022057485,0.031432126,0.027097752,0.03081698,0.027531702,0.0038011123
away_roster_season_est_off_rating,0.025448538,0.026107954,0.027965266,0.026477838,0.029190175,0.027037954,0.0015163142
away_team_recent_def_rtg,0.025411973,0.02820204,0.027278958,0.029146736,0.024253316,0.026858604,0.0020060742
home_team_season_def_rtg,0.025337573,0.024871657,0.026677119,0.026146613,0.026002519,0.025807094,0.00070814893
home_roster_season_est_usg_pct,0.023593657,0.026751442,0.026119873,0.025625404,0.02565727,0.025549527,0.0011845556
home_roster_recent_pie,0.024754593,0.023728164,0.027446706,0.022491874,0.029149354,0.025514137,0.0027317714
home_team_recent_off_rtg,0.025302723,0.024697471,0.023769027,0.026468247,0.025652844,0.025178064,0.0010151212
away_team_recent_win_pct,0.021647101,0.01575134,0.025888074,0.027567508,0.033665292,0.024903862,0.0066933082
home_roster_recent_est_usg_pct,0.027719349,0.02188867,0.02589136,0.024664063,0.021323828,0.024297455,0.002693928
home_roster_season_est_def_rating,0.024877993,0.0252386,0.024792671,0.020721816,0.021573111,0.023440838,0.0021216916
away_roster_recent_est_off_rating,0.020055674,0.020278603,0.026891088,0.029113533,0.019526642,0.023173109,0.004486237
home_team_season_win_pct,0.028425135,0.01937351,0.02702137,0.021978911,0.017313508,0.022822488,0.004795211
away_roster_season_est_usg_pct,0.021985568,0.026783437,0.022456339,0.02048419,0.022115877,0.022765083,0.0023703414
home_roster_season_est_off_rating,0.02411927,0.018283123,0.025088418,0.025691612,0.020052804,0.022647047,0.0032852334
away_team_season_off_rtg,0.02161609,0.023661813,0.020164575,0.024414029,0.022520589,0.022475418,0.0016767695
home_rest_days,0.0189014,0.01964124,0.02312923,0.022183292,0.019622758,0.020695584,0.0018451018
home_team_recent_def_rtg,0.023382744,0.021486558,0.019322738,0.018321084,0.019179158,0.020338457,0.002063448
away_team_season_def_rtg,0.023857882,0.022093572,0.0153786065,0.018608725,0.020532863,0.02009433,0.0032710347
away_roster_season_est_def_rating,0.015391454,0.020779671,0.019802637,0.01629601,0.018777376,0.01820943,0.0022950585
home_team_season_off_rtg,0.017980892,0.01707366,0.017087793,0.018938292,0.01885874,0.017987875,0.0009093521
away_rest_days,0.0073811496,0.0120030055,0.008708472,0.010021422,0.009121289,0.009447067,0.0017162731
seconds_remaining,0.0020151052,0.0015858323,0.0015236182,0.0017470813,0.0015494562,0.0016842186,0.00020437155
home_is_home,0.0,0.0,0.0,0.0,0.0,0.0,0.0
home_rebound_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0
away_is_home,0.0,0.0,0.0,0.0,0.0,0.0,0.0
away_efg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
home_efg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turnover_diff,0.0,0.0,0.0,0.0,0.0,0.0,0.0
